date,gdp_percent,unemp_rate
17533,2.84646,3.7
17624,4.6354499999999996,3.7
17715,5.3276300000000001,3.8
17807,3.8059799999999999,3.8
17899,0.90407999999999999,4.7
17989,-1.0417700000000001,5.9
18080,-0.50941000000000003,6.7
18172,-1.50718,7
18264,3.8374199999999998,6.4
18354,7.3373100000000004,5.6
18445,10.261229999999999,4.5999999999999996
18537,13.407909999999999,4.2
18629,10.55298,3.5
18719,9.1695700000000002,3.1
18810,7.2833899999999998,3.2
18902,5.4837699999999998,3.4
18994,5.1600299999999999,3.1
19085,3.5827800000000001,3
19176,2.2263799999999998,3.2
19268,5.3481399999999999,2.8
19360,6.1859999999999999,2.7
19450,6.7918000000000003,2.6
19541,5.4307699999999999,2.7
19633,0.53147999999999995,3.7
19725,-1.76146,5.3
19815,-2.42021,5.8
19906,-0.7571,6
19998,2.7359,5.3
20090,6.1598199999999999,4.7
20180,7.77508,4.4000000000000004
20271,7.9991899999999996,4.0999999999999996
20363,6.57233,4.2
20455,3.2143600000000001,4
20546,2.3985799999999999,4.2
20637,0.95726,4.0999999999999996
20729,1.99499,4.0999999999999996
20821,3.04996,3.9
20911,1.98054,4.0999999999999996
21002,3.0581,4.2
21094,0.35991000000000001,4.9000000000000004
21186,-2.8678400000000002,6.3
21276,-2.00963,7.4
21367,-0.71125000000000005,7.3
21459,2.6636000000000002,6.4
21551,7.3566700000000003,5.8
21641,9.2464300000000001,5.0999999999999996
21732,6.57219,5.3
21824,4.5457900000000002,5.6
21916,4.9227800000000004,5.0999999999999996
22007,2.04325,5.2
22098,2.4947300000000001,5.5
22190,0.85745000000000005,6.3
22282,-0.66954999999999998,6.8
22372,1.5623,7
22463,2.9992700000000001,6.8
22555,6.3744800000000001,6.2
22647,7.5590900000000003,5.6
22737,6.7339700000000002,5.5
22828,5.9835200000000004,5.6
22920,4.2812999999999999,5.5
23012,3.5761400000000001,5.8
23102,3.8078599999999998,5.7
23193,4.8356599999999998,5.5
23285,5.1757099999999996,5.6
23377,6.2680300000000004,5.5
23468,6.1479499999999998,5.2
23559,5.5297400000000003,5
23651,5.1534700000000004,5
23743,5.4658300000000004,4.9000000000000004
23833,5.6513,4.7
23924,6.3525,4.4000000000000004
24016,8.4760200000000001,4.0999999999999996
24108,8.4792299999999994,3.9
24198,7.4544300000000003,3.8
24289,6.0656699999999999,3.8
24381,4.5103099999999996,3.7
24473,2.9280900000000001,3.8
24563,2.5982599999999998,3.8
24654,2.7519800000000001,3.8
24746,2.69861,3.9
24838,3.8308900000000001,3.7
24929,5.4917400000000001,3.6
25020,5.3421700000000003,3.5
25112,4.9661099999999996,3.4
25204,4.4766300000000001,3.4
25294,3.0711400000000002,3.4
25385,2.97458,3.6
25477,2.0707800000000001,3.6
25569,0.32984000000000002,4.2
25659,0.18604999999999999,4.8
25750,0.44488,5.2
25842,-0.15243000000000001,5.8
25934,2.7030799999999999,5.9
26024,3.1067499999999999,5.9
26115,3.0004300000000002,6
26207,4.3748500000000003,5.9
26299,3.4769299999999999,5.8
26390,5.2723800000000001,5.7
26481,5.41838,5.6
26573,6.8568800000000003,5.4
26665,7.5576400000000001,4.9000000000000004
26755,6.3151299999999999,4.9000000000000004
26846,4.7718400000000001,4.8
26938,4.0213700000000001,4.8
27030,0.67878000000000005,5.0999999999999996
27120,-0.18815999999999999,5.2
27211,-0.61448999999999998,5.6
27303,-1.9264600000000001,6.6
27395,-2.2997899999999998,8.3000000000000007
27485,-1.8051999999999999,8.9
27576,0.79347000000000001,8.5
27668,2.5625499999999999,8.3000000000000007
27760,6.1611599999999997,7.7
27851,6.1454800000000001,7.6
27942,4.9507700000000003,7.7
28034,4.3319400000000003,7.8
28126,3.2150799999999999,7.5
28216,4.4516200000000001,7.1
28307,5.7617599999999998,6.9
28399,4.9848699999999999,6.7
28491,4.1384999999999996,6.3
28581,6.1049800000000003,6
28672,5.2800399999999996,6
28764,6.6808800000000002,5.9
28856,6.5221999999999998,5.9
28946,2.65971,5.7
29037,2.3955099999999998,5.9
29129,1.3019000000000001,6
29221,1.4280600000000001,6.3
29312,-0.74919000000000002,7.3
29403,-1.60608,7.7
29495,-4.1360000000000001E-2,7.4
29587,1.6983200000000001,7.4
29677,3.0455800000000002,7.4
29768,4.38619,7.4
29860,1.2911999999999999,8.1999999999999993
29952,-2.4225400000000001,8.8000000000000007
30042,-1.16926,9.4
30133,-2.6423800000000002,9.9
30225,-1.39707,10.7
30317,1.5938600000000001,10.4
30407,3.34918,10.1
30498,5.7535600000000002,9.4
30590,7.8292200000000003,8.5
30682,8.5498200000000004,7.9
30773,7.9919700000000002,7.4
30864,6.9602000000000004,7.4
30956,5.6349400000000003,7.3
31048,4.6067299999999998,7.2
31138,3.7423299999999999,7.3
31229,4.32986,7.2
31321,4.2807500000000003,7
31413,4.21129,7
31503,3.7399499999999999,7.2
31594,3.1789999999999998,7
31686,2.9409700000000001,6.8
31778,2.7088000000000001,6.6
31868,3.3871099999999998,6.3
31959,3.2851599999999999,6
32051,4.4491399999999999,5.8
32143,4.3071999999999999,5.7
32234,4.5122200000000001,5.5
32325,4.1707000000000001,5.5
32417,3.8366699999999998,5.3
32509,4.2975500000000002,5.2
32599,3.7469000000000001,5.2
32690,3.9215200000000001,5.2
32782,2.7799800000000001,5.4
32874,2.8676300000000001,5.3
32964,2.4597199999999999,5.3
33055,1.7256400000000001,5.7
33147,0.64554999999999996,6.1
33239,-0.91163000000000005,6.6
33329,-0.52729999999999999,6.8
33420,-7.4499999999999997E-2,6.9
33512,1.22462,7.1
33604,2.9032100000000001,7.4
33695,3.2366999999999999,7.6
33786,3.7423000000000002,7.6
33878,4.3263600000000002,7.4
33970,3.30063,7.1
34060,2.78159,7.1
34151,2.2884600000000002,6.8
34243,2.6256300000000001,6.6
34335,3.4389699999999999,6.6
34425,4.2328400000000004,6.2
34516,4.3386899999999997,6
34608,4.1333099999999998,5.6
34700,3.4747300000000001,5.5
34790,2.43628,5.7
34881,2.7075100000000001,5.7
34973,2.2753299999999999,5.6
35065,2.59558,5.5
35156,4.0234399999999999,5.5
35247,4.0945799999999997,5.3
35339,4.4528699999999999,5.3
35431,4.5630600000000001,5.2
35521,4.31907,5
35612,4.6790799999999999,4.9000000000000004
35704,4.3883900000000002,4.7
35796,4.6238099999999998,4.5999999999999996
35886,4.0685500000000001,4.4000000000000004
35977,4.1044,4.5
36069,4.9985799999999996,4.4000000000000004
36161,4.8000800000000003,4.3
36251,4.6494299999999997,4.3
36342,4.5981100000000001,4.2
36434,4.6951400000000003,4.0999999999999996
36526,4.16716,4
36617,5.2664999999999997,3.9
36708,4.0831999999999997,4
36800,2.8888400000000001,3.9
36892,2.29942,4.2
36982,0.93525999999999998,4.4000000000000004
37073,0.49517,4.8
37165,0.20451,5.5
37257,1.41557,5.7
37347,1.4374100000000001,5.8
37438,2.2546200000000001,5.7
37530,2.03653,5.9
37622,1.6292800000000001,5.9
37712,2.0095200000000002,6.1
37803,3.2154600000000002,6.1
37895,4.3558599999999998,5.8
37987,4.4151100000000003,5.7
38078,4.2134600000000004,5.6
38169,3.4285000000000001,5.4
38261,3.1168200000000001,5.4
38353,3.62012,5.3
38443,3.4031799999999999,5.0999999999999996
38534,3.3326199999999999,5
38626,3.0326200000000001,5
38718,3.17069,4.7
38808,2.9415,4.5999999999999996
38899,2.1752099999999999,4.5999999999999996
38991,2.3897699999999999,4.4000000000000004
39083,1.23678,4.5
39173,1.7072400000000001,4.5
39264,2.29982,4.7
39356,1.8675999999999999,4.8
39448,1.1097900000000001,5
39539,0.84031999999999996,5.3
39630,-0.31345000000000001,6
39722,-2.7668400000000002,6.9
39814,-3.4550100000000001,8.3000000000000007
39904,-4.0619199999999998,9.3000000000000007
39995,-3.28484,9.6
40087,-0.24068000000000001,9.9
40179,1.5987899999999999,9.8000000000000007
40269,2.7193299999999998,9.6
40360,3.0757300000000001,9.5
40452,2.7307299999999999,9.5
40544,1.8929100000000001,9
40634,1.6521300000000001,9.1
40725,1.18347,9
40817,1.68187,8.6
40909,2.7533500000000002,8.3000000000000007
41000,2.4874700000000001,8.1999999999999993
41091,2.3943099999999999,8
41183,1.2771300000000001,7.8
41275,1.3134699999999999,7.7
41365,1.03593,7.5
41456,1.6938899999999999,7.3
41548,2.6629399999999999,6.9
41640,1.6471,6.7
41730,2.4432200000000002,6.2
41821,2.8969299999999998,6.1
41913,2.4870800000000002,5.7
42005,3.3144900000000002,5.5
42095,2.97716,5.4
42186,2.23942,5.0999999999999996
42278,1.87774,5
42370,1.5736300000000001,4.9000000000000004
42461,1.27623,4.9000000000000004
42552,1.65357,4.9000000000000004
42644,1.9565399999999999,4.7
NA,NA,4.7
